\begin{appendices}
\chapter{Charity data $N=328$}

\begin{longtable}{cccc} 
\hline
gaveamt	&	hhincome	&	female	&	age	\\
\hline
\endhead
220	&	55	&	1	&	69	\\
375	&	92.5	&	1	&	51	\\
4000	&	37.5	&	1	&	73	\\
3000	&	67.5	&	1	&	70	\\
7987	&	27.5	&	0	&	93	\\
400	&	45	&	1	&	73	\\
30	&	55	&	1	&	33	\\
3554	&	80	&	1	&	90	\\
50	&	32.5	&	1	&	62	\\
1250	&	80	&	1	&	43	\\
50	&	27.5	&	1	&	79	\\
500	&	92.5	&	1	&	54	\\
2310	&	80	&	0	&	65	\\
750	&	45	&	0	&	37	\\
1000	&	80	&	1	&	62	\\
1050	&	37.5	&	0	&	54	\\
815	&	67.5	&	1	&	62	\\
85	&	80	&	1	&	71	\\
250	&	92.5	&	0	&	65	\\
500	&	55	&	1	&	53	\\
5350	&	80	&	0	&	73	\\
1160	&	80	&	0	&	77	\\
5400	&	80	&	1	&	41	\\
1085	&	80	&	1	&	41	\\
5400	&	45	&	0	&	53	\\
450	&	80	&	0	&	51	\\
550	&	45	&	1	&	50	\\
250	&	80	&	1	&	55	\\
2600	&	45	&	1	&	68	\\
13295	&	92.5	&	1	&	77	\\
1420	&	22.5	&	1	&	76	\\
9500	&	67.5	&	1	&	66	\\
575	&	92.5	&	0	&	49	\\
1660	&	67.5	&	0	&	82	\\
150	&	27.5	&	1	&	40	\\
335	&	45	&	1	&	62	\\
10198	&	92.5	&	0	&	70	\\
550	&	67.5	&	1	&	72	\\
775	&	92.5	&	0	&	55	\\
303	&	92.5	&	1	&	86	\\
1100	&	67.5	&	1	&	59	\\
75	&	37.5	&	0	&	45	\\
955	&	92.5	&	1	&	45	\\
190	&	37.5	&	1	&	31	\\
1755	&	22.5	&	1	&	71	\\
950	&	67.5	&	1	&	49	\\
200	&	37.5	&	1	&	55	\\
1200	&	27.5	&	0	&	43	\\
500	&	92.5	&	1	&	59	\\
25	&	55	&	1	&	42	\\
100	&	45	&	1	&	52	\\
90	&	27.5	&	1	&	63	\\
1450	&	32.5	&	1	&	80	\\
1100	&	32.5	&	0	&	80	\\
3100	&	32.5	&	1	&	70	\\
275	&	55	&	1	&	57	\\
1150	&	55	&	0	&	48	\\
1500	&	92.5	&	1	&	63	\\
700	&	55	&	1	&	69	\\
4960	&	55	&	1	&	69	\\
500	&	67.5	&	0	&	41	\\
1430	&	45	&	0	&	71	\\
535	&	55	&	0	&	77	\\
